pair_id,similarity_type,candidate_id,job_id,candidate_title,job_title,candidate_skills,job_requirements,predicted_similarity,human_label
11,random,21342,13373,"Cộng Tác Viên, Nhân Viên Bán Thời Gian",Nhân viên đài quan sát Tầng 65 toà nhà Lotte Center Hà Nội,"['kỹ năng viết lách (tiếng việt)', 'sử dụng mạng xã hội', 'tin học văn phòng', 'tìm kiếm và tổng hợp thông tin', 'tư duy sáng tạo']","- Độ tuổi từ 20-30 tuổi - Giao tiếp thành thạo tiếng Anh, tiếng Hàn là một lợi thế - Nhanh nhẹn, chăm chỉ, có tư duy dịch vụ, cẩn thận",0.1,
12,medium,6907,5291,Điều Dưỡng,Nhân Sự Kinh Doanh Phần Mềm Đi Thị Trường,"['chăm sóc bệnh nhân cơ bản', 'kỹ thuật tiêm truyền, Thay băng', 'đo và theo dõi sinh hiệu', 'giao tiếp và trấn an bệnh nhân', 'đọc hiểu hồ sơ bệnh án', 'kỹ năng sơ cứu ban đầu', 'tuân thủ quy trình y tế']","Có kiến ​​thức, kỹ năng bán hàng là lợi thếBắt nhịp nhanh với công việc, ham học hỏi, có tinh thần cầu tiếnChưa có kinh nghiệm sẽ được đào tạoYêu thích kinh doanh",0.577,
13,random,6907,3200,Điều Dưỡng,Sales Development Representative Lead,"['chăm sóc bệnh nhân cơ bản', 'kỹ thuật tiêm truyền, Thay băng', 'đo và theo dõi sinh hiệu', 'giao tiếp và trấn an bệnh nhân', 'đọc hiểu hồ sơ bệnh án', 'kỹ năng sơ cứu ban đầu', 'tuân thủ quy trình y tế']","- Tìm tòi các hướng mới, cách tiếp cận mới giúp chuyển đổi contact khách hàng thành Hot Lead tiềm năng;- Lên kế hoạch, phân bố nguồn lực và dẫn dắt nhân viên;- Khả năng giao tiếp cao với các stakeholders (là BOD, Director, các phòng liên quan và nhân viên);- tư duy giải quyết vấn đề- Có khả năng thích nghi nhanh với sự thay đổi nhanh chóng của môi trường startup;- Độ tuổi: 95 - 98;- Kinh nghiệm: có ít nhất 2 năm kinh nghiệm ở vị trí telesales và từng làm với tập khách hàng B2B.",0.293,
14,high,30001,1938,Nhân Viên Kinh Doanh,"Nhân Viên Kinh Doanh Thị Trường (Ngành Môi Trường, Phế Liệu)","['kỹ năng giao tiếp và đàm phán', 'kỹ năng tư vấn khách hàng', 'kỹ năng thuyết trình', 'khả năng làm việc nhóm', 'tin học văn phòng (word, Excel, Powerpoint)']","- Tốt nghiệp ĐH chuyên ngành ngoại thương, kinh tế, thương mại hoặc liên quan- Có ít nhất 3 năm kinh nghiệm ở vị trí nhân viên kinh doanh dịch vụ, am hiểu về lĩnh vực môi trường, phế liệu, logistics - Sử dụng thành thạo tiếng Anh hoặc Nhật, Trung, Hàn- Kỹ năng giao tiếp, đàm phán, thuyết phục tốt - Sử dụng thành thạo tin học văn phòng (Word, excel, powerpoint)- Kỹ năng soạn thảo văn bản, thuyết trình, lập báo cáo tốt- Khả năng làm việc độc lập và tinh thần hợp tác, kỹ năng quản lý, làm việc theo nhóm tốt- Trung thực, nhiệt tình, chủ động, trách nhiệm và chịu được áp lực công việc, nguyện vọng gắn bó lâu dài- Độ tuổi: Từ 26 - 35 tuổi, ưu tiên ứng viên sống tại Bắc Ninh",0.853,
15,medium,30001,4053,Nhân Viên Kinh Doanh,Nhân Viên Kế Toán - Hóc Môn,"['kỹ năng giao tiếp và đàm phán', 'kỹ năng tư vấn khách hàng', 'kỹ năng thuyết trình', 'khả năng làm việc nhóm', 'tin học văn phòng (word, Excel, Powerpoint)']","- Nam - Nữ, tốt nghiệp Đại học các ngành như: Kế toán, Kiểm toán, Tài chính ngân hàng, Tài chính doanh nghiệp,…;- Có kinh nghiệm làm kế toán ít nhất từ 01 năm trở lên, biết lên báo cáo tài chính, sổ sách kế toán;- Thành thạo word, excel, đặc biệt ưu tiên ứng viên đã từng sử dụng phần mềm MISA;- Kỹ năng giao tiếp tốt và tư duy logic;- Trung thực, chăm chỉ, nhanh nhẹn, chủ động trong công việc.",0.517,
16,random,30001,6370,Nhân Viên Kinh Doanh,Nhân Viên IT (Sân Gôn Hà Nam),"['kỹ năng giao tiếp và đàm phán', 'kỹ năng tư vấn khách hàng', 'kỹ năng thuyết trình', 'khả năng làm việc nhóm', 'tin học văn phòng (word, Excel, Powerpoint)']","Tốt nghiệp đại học chỉnh quy trở lên chuyên ngành CNTT, Khoa học máy tính, kĩ thuật máy tính, hệ thống thông tin, kĩ thuật phần mềmCó từ 2 năm kinh nghiệm tại vị trí tương đương trở lênCó thể sử dụng tiếng Anh trong công việc là một lợi thếTinh thần trách nhiệm và tính trung thực caoKhả năng làm việc độc lập và làm việc nhóm",0.245,
17,high,39437,14519,Nhân Viên Kinh Doanh,Chuyên viên kinh doanh Bất Động Sản,"['giao tiếp tự tin', 'tinh thần cầu tiến', 'kiên trì, Chịu khó', 'khả năng làm việc độc lập và nhóm', 'sử dụng tin học văn phòng cơ bản', 'tư duy phục vụ khách hàng']","- Nam/Nữ từ 20 tuổi trở lên- Có laptop cá nhân, smartphone. - Chưa có kinh nghiệm được đào tạo từ A-Z, được cầm tay chỉ việc tận tình. - Đam mê làm giàu, kiếm tiền không giới hạn. - Kiên trì, nhanh nhẹn, hoạt bát, có tinh thần cầu tiến trong công việc. - Nhiệt tình, chu đáo và có trách nhiệm.",0.855,
18,medium,39437,13001,Nhân Viên Kinh Doanh,nhân viên kiểm tra hàng,"['giao tiếp tự tin', 'tinh thần cầu tiến', 'kiên trì, Chịu khó', 'khả năng làm việc độc lập và nhóm', 'sử dụng tin học văn phòng cơ bản', 'tư duy phục vụ khách hàng']","- Nhanh nhẹn , chăm chỉ , siêng năng . - Chịu được áp lực cao trong công việc. - Có tinh thần cầu tiến. - Có trách nhiệm cao trong công việc. - Cẩn thận, tỉ mỉ và trung thực. - Hòa đồng trong công việc- luôn giúp với nhau trong công việc",0.58,
19,random,39437,6638,Nhân Viên Kinh Doanh,QC Leader (Manual & Automation Test),"['giao tiếp tự tin', 'tinh thần cầu tiến', 'kiên trì, Chịu khó', 'khả năng làm việc độc lập và nhóm', 'sử dụng tin học văn phòng cơ bản', 'tư duy phục vụ khách hàng']","Education:. Majoring in Information Technology, Mathematics, Electronics and Telecommunications, Mechatronics and related fields.. Experience:. At least 2 years of experience as Tester or QC engineer.. At least 06 months/1 years experience in a Leader position.. Have experience in management software, Payment system, Insurance.... Excellent in creating a test case, test plan;. Confident to execute multiple types of the manual test; automation test. Good understanding of HTTP prototype, and RESTful APIs;. Be able to communicate complex concepts clearly and persuasively;. Confident to write SQL queries to retrieve data from the database;. Follow up the implementation of software in accordance with company norms, standards, and methodology. Good knowledge of the testing process, quality models, standards, ability to understand clients’ needs and create test strategies;. Familiar with Jira and Confluence to manage tasks and documents;. Learn new technologies and tools as business needs change and effectively incorporate them;. Good analytical and report writing skills, communication skills, problem-solving skills. Ability to work independently – self-directed.. Being able to write and execute automation test script with Selenium web driver is a plus;. Automate repetitive tasks with bash script, Python other scripting languages is a plus. Be passionate, willing to learn. Good understanding of performance and load testing (JMeter).. Experience in SQL Queries.. Experience with Agile (Scrum) and Test-Driven Development (TDD);. Experience in API testing using Postman or SOAPUI.. Medici encourages:. Able to work in a dynamic and ever-changing industry.. Solid understanding of the full mobile development life cycle, including automated testing and building.",0.221,
20,random,44104,13128,Nhân Viên S.e.o,Nhân Viên Tổ Chức Đào Tạo AF,"['kiến thức seo cơ bản', 'phân tích từ khóa', 'tối ưu on-page/off-page', 'sử dụng google analytics', 'viết nội dung']","- Tốt nghiệp đại học chuyên ngành liên quan đến tiếng Anh - Có kinh nghiệm đứng lớp, chăm sóc khách hàng. - Kỹ năng giao tiếp, giải quyết vấn đề tốt - Khéo léo, linh hoạt, tận tâm, đam mê về giáo dục - Có thái độ tích cực trong công việc.",0.126,
21,medium,20680,1271,English Teacher,Quản Lý Trải Nghiệm Khách Hàng,"['giảng dạy tiếng anh', 'thiết kế bài giảng', 'quản lý lớp học', 'đánh giá học viên', 'giao tiếp hiệu quả', 'sáng tạo']","Phẩm chất: Khiêm tốn, thật thà, dũng cảmPhải từng tự hào vì mình đã từng có sáng kiến và thực hiện được sáng kiến đó khiến khách hàng cực kỳ hài lòng với công ty/sản phẩm/dịch vụKỹ năng, tư duy:+Customer-obsessed - Quan tâm sâu sắc tới khách hàng đến mức ám ảnh +Tư duy tổng thể, hành động chi tiết+Khả năng giải quyết vấn đề, xoay sở tình huống tốt+Có khả năng xây dựng, sáng tạo+Growth mindset - tư duy mở, có khả năng phát triểnTính cách:+Quan tâm tới con người, muốn làm người khác hạnh phúc+Chủ động, quyết liệt trong công việc, làm gì cũng phải tới nơi+Cẩn thận, cực kỳ chỉn chu, thậm chí chủ nghĩa hoàn hảo+Nhanh nhẹn, linh hoạt, dám nghĩ dám làmKinh nghiệm: đã có kinh nghiệm trong việc vận hành/chăm sóc khách hàng, ưu tiên đã làm việc trực tiếp với BOD",0.621,
22,random,20680,9600,English Teacher,Chuyên Viên Đào Tạo Tại Hà Nội (10-20 Triệu),"['giảng dạy tiếng anh', 'thiết kế bài giảng', 'quản lý lớp học', 'đánh giá học viên', 'giao tiếp hiệu quả', 'sáng tạo']","Ứng viên tốt nghiệp Cao đẳng, Đại học trở lên.. Kinh nghiệm đào tạo kỹ năng mềm 1 - 2 năm.. Biết tiếng anh là một lợi thế.. Có khả năng chia sẻ kinh nghiệm thực tiễn và giảng dạy, truyền đạt với đối tượng là học sinh, sinh viên.. Có khả năng làm việc độc lập.. Nhiệt huyết và tinh thần trách nhiệm cao. Chịu được áp lực công việc.. Cầu thị và có tâm huyết với thế hệ trẻ, mong muốn đóng góp sức lực để phát triển nguồn nhân lực Việt Nam.. Có khả năng di chuyển trong nội thành Hà Nội. Có latop cá nhân.",0.263,
23,medium,38950,9128,Cv Xin Việc,Nhân Viên Hành Chính - Vp Dầu Giây (Thời Vụ 8 Tháng),"['hoạch định chiến lược nhân sự', 'tuyển dụng và giữ chân nhân tài', 'phát triển nguồn nhân lực', 'quản lý hiệu suất', 'xây dựng chính sách lương thưởng phúc lợi', 'quan hệ lao động', 'luật lao động', 'kỹ năng lãnh đạo và đào tạo']","Cao đẳng hoặc Đại học chuyên ngành Kinh tế hoặc tương đương.Có ít nhất 01 năm kinh nghiệm trong lĩnh vực có liên quan.Hiểu biết về nghiệp vụ hành chính văn phòng. Có kiến thức và thực tiễn về Luật Lao độngKỹ năng soạn thảo văn bản, sắp xếp và lưu trữ hồ sơ, phân tích, tổng hợp, làm báo cáo và giao tiếp tốt.Tiếng anh khá là một lợi thế",0.624,
24,random,38950,11367,Cv Xin Việc,[THỦ ĐỨC - DĨ AN] TUYỂN DỤNG TRỢ LÝ VĂN PHÒNG - KHÔNG CẦN KINH NGHIỆM,"['hoạch định chiến lược nhân sự', 'tuyển dụng và giữ chân nhân tài', 'phát triển nguồn nhân lực', 'quản lý hiệu suất', 'xây dựng chính sách lương thưởng phúc lợi', 'quan hệ lao động', 'luật lao động', 'kỹ năng lãnh đạo và đào tạo']","- Cẩn thận, tỉ mỉ, chính xác trong công việc. - Phong thái chuyên nghiệp, điềm tĩnh khi giao tiếp với những người xung quanh. - KHÔNG YÊU CẦU BẰNG CẤP. - KHÔNG YÊU CẦU KINH NGHIỆM. - Làm việc từ thứ 2 - thứ 7 (08h -17h, nghỉ trưa 1h30) - Địa chỉ:Trụ sở: B3-01, KDC HIM LAM PHÚ ĐÔNG, P. LINH TÂY, THỦ ĐỨC. Cơ sở 2: E2-16, KHU HIM LAM PHÚ ĐÔNG, P. AN BÌNH, DĨ AN, BÌNH DƯƠNG.",0.193,
25,random,6459,8643,Dược Sĩ,Chuyên Viên Đồng Giảng,"['dược lý và các loại thuốc', 'tư vấn sử dụng thuốc', 'quản lý kho và bảo quản thuốc', 'thực hành nhà thuốc tốt (gpp)', 'kỹ năng giao tiếp khách hàng', 'sử dụng tin học văn phòng cơ bản', 'cẩn thận, Tỉ mỉ']","1. Bằng cấp - Tốt nghiệp Đại Học các ngành liên quan đến Sư phạm Tiếng Anh, Ngôn ngữ Anh và các ngành khác có liên quan.2. Kỹ năng và yêu cầu bắt buộc - Tiếng Anh giao tiếp tốt hoặc thành thạo.- Có laptop cá nhân, thành thạo tin học văn phòng. - Kỹ năng giao tiếp tốt (với cả người Việt và người nước ngoài)- Kỹ năng tổ chức, sắp xếp công việc.- Có tính cẩn thận, TRUNG TÍN, chăm chỉ và BỀN BỈ.- Có tính chủ đông và tư duy tích cực- Có động lực khẳng định bản thân mạnh mẽ, cầu tiến và cầu thị.- Không ngại di chuyển3. Kinh nghiệm - Có kinh nghiệm làm việc từ 1 năm trở lên ở vị trí tương đương là một lợi thế nhưng không bắt buộc.",0.189,
26,medium,25778,1453,Sale(đang Tìm Việc),Trưởng Nhóm Kiểm Thử (Testlead),"['kỹ năng bán hàng và chốt sale', 'tìm kiếm và khai thác khách hàng tiềm năng', 'kỹ năng đàm phán, Thuyết phục', 'xây dựng và duy trì mối quan hệ khách hàng', 'phân tích thị trường và đối thủ cạnh tranh', 'sử dụng crm và công cụ sales hiệu quả']","Có từ 2 năm nghiệm lead team (2-5 member)Tiếng anh sử dụng thành thạo 4 kỹ năng (nghe - nói - đọc - viết)Hiểu biết về quy trình Test, chiến lược và kỹ thuật test phần mềm…Chủ động, Sáng tạo, Nhiệt tình, Trách nhiệm trong công việc, Có tư duy logic tốt.Ưu tiên các ứng viên đã làm việc theo quy trình phần mềm, có hiểu biết về hệ thống kiểm soát chất lượng phần mềm, Automation test (không bắt buộc)Tốt nghiệp Đại học/ Cao đẳng về Công nghệ thông tin hoặc các ngành có liên quan (không bắt buộc)",0.657,
27,random,25778,6106,Sale(đang Tìm Việc),"Chuyên Viên Chăm Sóc Khách Hàng B2C - Mỹ Tho, Tiền Giang","['kỹ năng bán hàng và chốt sale', 'tìm kiếm và khai thác khách hàng tiềm năng', 'kỹ năng đàm phán, Thuyết phục', 'xây dựng và duy trì mối quan hệ khách hàng', 'phân tích thị trường và đối thủ cạnh tranh', 'sử dụng crm và công cụ sales hiệu quả']","- Nam/Nữ, sinh năm 1996 - 2000. Tốt nghiệp Cao đẳng/Đại học, có thể đi làm Full time- Có trách nhiệm trong công việc, luôn bám sát và giải quyết vấn đề đến cùng. - Có thể trang bị laptop cá nhân. - Kỹ năng lắng nghe, giao tiếp tốt và ứng biến linh hoạt.",0.196,
28,medium,32426,8799,Nhân Viên Bán Hàng,Nhân Viên Kế Toán Tổng Hợp,"['kỹ năng giao tiếp thân thiện', 'kỹ năng tư vấn sản phẩm', 'kỹ năng xử lý tình huống', 'kiên trì, Chịu khó', 'sử dụng thành thạo máy pos']","•Tốt nghiệp chuyên ngành kế toán, kiểm toán, thuế.. •Ưu tiên có kinh nghiệm (1 năm) trong lĩnh vực dịch vụ kế toán, tư vấn thuế.. •Có kiến thức về chế độ kế toán và các sắc thuế của Doanh nghiệp. •Có định hướng nghề nghiệp rõ ràng, gắn bó với công việc, nhanh nhẹn, chịu khó, cẩn thận và trung thực.. •Ứng viên giỏi sẽ có lương cao. •Dưới 35 tuổi",0.511,
29,random,32426,4340,Nhân Viên Bán Hàng,Quản Lý Cơ Sở Phòng Khám,"['kỹ năng giao tiếp thân thiện', 'kỹ năng tư vấn sản phẩm', 'kỹ năng xử lý tình huống', 'kiên trì, Chịu khó', 'sử dụng thành thạo máy pos']","Trình độ cao đẳng trở lên. Tốt nghiệp các ngành quản trị nhân sự hoặc các ngành liên quan.Có ít nhất 2 năm kinh nghiệm tại vị trí tương đương quản lý nha khoa, spa và thẩm mỹ và ngành dịch vụ khácNhanh nhẹn, có khả năng truyền cảm hứng, push tinh thần nhân sự Có kỹ năng lập kế hoạch và phân chia công việc",0.262,
30,medium,40390,3857,Doanh thu,Trưởng Nhóm Marketing,"['phân tích thị trường và đối thủ cạnh tranh', 'lập kế hoạch và triển khai chiến lược kinh doanh', 'quản lý và phát triển đội ngũ', 'phân tích dữ liệu doanh thu và hiệu suất', 'kỹ năng đàm phán và xây dựng quan hệ chiến lược']","Có ít nhất 2 năm kinh nghiệm tại vị trí tương đương. Ưu tiên ứng viên có kinh nghiệm trong ngành Mỹ phẩm, làm đẹp.. Có năng lực bao quát vấn đề, đánh giá và phân tích hiệu quả, phản ứng kịp thời với các yêu cầu thay đổi, điều chỉnh để phù hợp với mục tiêu kinh doanh.. Sáng tạo, tư duy nhanh nhạy linh hoạt, khả năng nắm bắt insight khách hàng tốt.. Có khả năng điều hành, kiểm soát quá trình hoạt động marketing của doanh nghiệp.. Thái độ cầu tiến, sẵn sàng học hỏi và tiếp thu nhanh những kiến thức mới về các công nghệ liên quan đến Digital Marketing, Branding Marketing, Growth Marketing.",0.621,
31,random,40390,12174,Doanh thu,TUYỂN NHÂN VIÊN KẾ TOÁN,"['phân tích thị trường và đối thủ cạnh tranh', 'lập kế hoạch và triển khai chiến lược kinh doanh', 'quản lý và phát triển đội ngũ', 'phân tích dữ liệu doanh thu và hiệu suất', 'kỹ năng đàm phán và xây dựng quan hệ chiến lược']","-Tuổi: Từ 20-40 tuổi -Trình độ: tốt nghiệp trung cấp ,cao đẳng chuyên ngành tài chính, kế toán trở lên; -Thành thạo phần mềm Misa, tin học văn phòng – đặc biệt là xử lý dữ liệu excel tốt; -Nhiệt tình, chăm chỉ, cẩn thận, giao tiếp tốt;-Kinh nghiệm: Yêu cầu kinh nghiệm >1 năm",0.347,
